2026/08/17 00:44:34.011, 99 %, 74 %, 43729 MiB, 46068 MiB, 72, 292.64 W, 1395 MHz, 7601 MHz
2026/08/17 00:44:39.065, 77 %, 57 %, 43729 MiB, 46068 MiB, 72, 287.80 W, 1530 MHz, 7601 MHz
2026/08/17 00:44:44.120, 100 %, 75 %, 43729 MiB, 46068 MiB, 72, 297.90 W, 1395 MHz, 7601 MHz
2026/08/17 00:44:49.173, 99 %, 80 %, 43729 MiB, 46068 MiB, 72, 296.57 W, 1410 MHz, 7601 MHz
2026/08/17 00:44:54.248, 90 %, 43 %, 43729 MiB, 46068 MiB, 71, 287.71 W, 1470 MHz, 7601 MHz
2026/08/17 00:44:59.329, 100 %, 70 %, 43729 MiB, 46068 MiB, 71, 289.87 W, 1680 MHz, 7601 MHz
2026/08/17 00:45:04.401, 99 %, 69 %, 43729 MiB, 46068 MiB, 71, 295.90 W, 1470 MHz, 7601 MHz
2026/08/17 00:45:09.474, 99 %, 63 %, 43729 MiB, 46068 MiB, 72, 296.19 W, 1455 MHz, 7601 MHz
2026/08/17 00:45:14.537, 98 %, 62 %, 43729 MiB, 46068 MiB, 72, 297.29 W, 1440 MHz, 7601 MHz
2026/08/17 00:45:19.590, 99 %, 62 %, 43729 MiB, 46068 MiB, 72, 295.96 W, 1500 MHz, 7601 MHz
2026/08/17 00:45:24.645, 100 %, 73 %, 43729 MiB, 46068 MiB, 70, 293.49 W, 1440 MHz, 7601 MHz
2026/08/17 00:45:29.699, 95 %, 50 %, 43729 MiB, 46068 MiB, 71, 285.87 W, 1410 MHz, 7601 MHz
2026/08/17 00:45:34.769, 99 %, 80 %, 43729 MiB, 46068 MiB, 71, 293.64 W, 1410 MHz, 7601 MHz
2026/08/17 00:45:39.838, 88 %, 46 %, 43729 MiB, 46068 MiB, 72, 293.96 W, 1605 MHz, 7601 MHz
2026/08/17 00:45:44.934, 88 %, 42 %, 43729 MiB, 46068 MiB, 72, 290.89 W, 1500 MHz, 7601 MHz
2026/08/17 00:45:50.008, 98 %, 67 %, 43729 MiB, 46068 MiB, 72, 291.16 W, 1410 MHz, 7601 MHz
2026/08/17 00:45:55.063, 90 %, 57 %, 43729 MiB, 46068 MiB, 72, 294.65 W, 1410 MHz, 7601 MHz
2026/08/17 00:46:00.116, 99 %, 70 %, 43729 MiB, 46068 MiB, 72, 297.20 W, 1470 MHz, 7601 MHz
2026/08/17 00:46:05.170, 95 %, 61 %, 43729 MiB, 46068 MiB, 72, 293.57 W, 1395 MHz, 7601 MHz
2026/08/17 00:46:10.224, 98 %, 66 %, 43729 MiB, 46068 MiB, 72, 295.99 W, 1515 MHz, 7601 MHz
2026/08/17 00:46:15.278, 100 %, 71 %, 43729 MiB, 46068 MiB, 70, 292.35 W, 1380 MHz, 7601 MHz
2026/08/17 00:46:20.332, 92 %, 61 %, 43729 MiB, 46068 MiB, 71, 282.03 W, 1680 MHz, 7601 MHz
