timestamp_iso,rxpci_mb_s,txpci_mb_s
2026-08-17T14:41:41.2975799+02:00,820,1728
2026-08-17T14:41:46.4915605+02:00,823,1695
2026-08-17T14:41:51.7177643+02:00,0,0
2026-08-17T14:41:56.9236187+02:00,0,0
2026-08-17T14:42:02.1033392+02:00,58,451
2026-08-17T14:42:07.3029619+02:00,0,1
2026-08-17T14:42:12.5062206+02:00,0,0
2026-08-17T14:42:17.7246514+02:00,0,0
2026-08-17T14:42:22.9530151+02:00,0,0
2026-08-17T14:42:28.1523460+02:00,16,572
2026-08-17T14:42:33.3288465+02:00,2,445
2026-08-17T14:42:38.5211471+02:00,3,613
2026-08-17T14:42:43.7384089+02:00,3,891
2026-08-17T14:42:48.9465782+02:00,2,804
2026-08-17T14:42:54.1452679+02:00,17,446
2026-08-17T14:42:59.3241492+02:00,4,891
2026-08-17T14:43:04.5145159+02:00,5,890
2026-08-17T14:43:09.7296097+02:00,789,2762
2026-08-17T14:43:14.9101741+02:00,867,1855
2026-08-17T14:43:20.1395120+02:00,888,1975
2026-08-17T14:43:25.3345448+02:00,858,1674
2026-08-17T14:43:30.5405692+02:00,434,2222
2026-08-17T14:43:35.7556021+02:00,871,3451
2026-08-17T14:43:41.0185809+02:00,435,1989
2026-08-17T14:43:46.2161004+02:00,868,1998
2026-08-17T14:43:51.4204567+02:00,792,1733
2026-08-17T14:43:56.6283516+02:00,789,1655
2026-08-17T14:44:01.8023437+02:00,1083,2621
2026-08-17T14:44:07.0204968+02:00,1569,1914
2026-08-17T14:44:12.2811550+02:00,4,446
2026-08-17T14:44:17.4754516+02:00,3,891
2026-08-17T14:44:22.6708748+02:00,4,891
2026-08-17T14:44:27.8701500+02:00,4,891
2026-08-17T14:44:33.0992045+02:00,63,894
2026-08-17T14:44:38.2896872+02:00,4,891
2026-08-17T14:44:43.5261696+02:00,4,891
2026-08-17T14:44:48.7468724+02:00,2,891
2026-08-17T14:44:53.9422955+02:00,2,891
2026-08-17T14:44:59.1405012+02:00,4,891
2026-08-17T14:45:04.3399067+02:00,4,891
2026-08-17T14:45:09.5667297+02:00,4,647
2026-08-17T14:45:14.7639987+02:00,2,891
2026-08-17T14:45:19.9703020+02:00,4,891
2026-08-17T14:45:25.1582451+02:00,7,891
2026-08-17T14:45:30.3467510+02:00,4,891
2026-08-17T14:45:35.5283219+02:00,2,891
2026-08-17T14:45:40.7280739+02:00,2,891
2026-08-17T14:45:45.9071316+02:00,3,891
2026-08-17T14:45:51.0805704+02:00,64,893
2026-08-17T14:45:56.2882388+02:00,4,891
2026-08-17T14:46:01.4765315+02:00,3,891
2026-08-17T14:46:06.6655472+02:00,4,891
2026-08-17T14:46:11.8652106+02:00,4,531
2026-08-17T14:46:17.0573446+02:00,5,897
2026-08-17T14:46:22.2672114+02:00,4,891
2026-08-17T14:46:27.4531782+02:00,3,891
2026-08-17T14:46:32.6741547+02:00,810,1702
2026-08-17T14:46:37.8728725+02:00,811,1688
2026-08-17T14:46:43.0926895+02:00,781,1547
2026-08-17T14:46:48.2707599+02:00,1118,1699
2026-08-17T14:46:53.4884946+02:00,782,1739
2026-08-17T14:46:58.6636496+02:00,787,1569
2026-08-17T14:47:03.8842638+02:00,435,2016
2026-08-17T14:47:09.1131568+02:00,83,929
2026-08-17T14:47:14.2995543+02:00,4,613
2026-08-17T14:47:19.5170008+02:00,3,891
2026-08-17T14:47:24.8437000+02:00,2,891
2026-08-17T14:47:30.0339069+02:00,4,560
2026-08-17T14:47:35.2376287+02:00,4,891
2026-08-17T14:47:40.4310050+02:00,4,828
2026-08-17T14:47:45.6369304+02:00,5,891
2026-08-17T14:47:50.8488840+02:00,5,761
2026-08-17T14:47:56.0776837+02:00,56,894
2026-08-17T14:48:01.2794452+02:00,5,890
2026-08-17T14:48:06.4822126+02:00,5,446
2026-08-17T14:48:11.6772682+02:00,3,891
2026-08-17T14:48:16.8631258+02:00,5,802
2026-08-17T14:48:22.0837771+02:00,6,454
2026-08-17T14:48:27.2736657+02:00,5,891
2026-08-17T14:48:32.4957315+02:00,2,891
2026-08-17T14:48:37.6962950+02:00,2,891
2026-08-17T14:48:42.9290943+02:00,5,812
2026-08-17T14:48:48.1171693+02:00,63,451
2026-08-17T14:48:53.3290904+02:00,4,891
2026-08-17T14:48:58.5235762+02:00,11,893
2026-08-17T14:49:03.7216170+02:00,5,892
2026-08-17T14:49:08.9441572+02:00,5,891
2026-08-17T14:49:14.1665095+02:00,23,890
2026-08-17T14:49:19.3836608+02:00,5,891
2026-08-17T14:49:24.5729435+02:00,3,891
2026-08-17T14:49:29.7649963+02:00,4,587
2026-08-17T14:49:34.9818178+02:00,4,716
2026-08-17T14:49:40.1887659+02:00,19,891
2026-08-17T14:49:45.3795387+02:00,2,891
2026-08-17T14:49:50.5912756+02:00,4,892
2026-08-17T14:49:55.8045020+02:00,5,666
2026-08-17T14:50:00.9903275+02:00,5,891
2026-08-17T14:50:06.2181136+02:00,6,891
2026-08-17T14:50:11.4101823+02:00,2,891
2026-08-17T14:50:16.6113935+02:00,2,891
2026-08-17T14:50:21.8234218+02:00,5,892
2026-08-17T14:50:27.0137878+02:00,4,891
2026-08-17T14:50:32.2251464+02:00,4,891
2026-08-17T14:50:37.4021854+02:00,4,891
2026-08-17T14:50:42.6114590+02:00,2,891
2026-08-17T14:50:47.8120700+02:00,3,833
2026-08-17T14:50:53.0210083+02:00,4,891
2026-08-17T14:50:58.1909058+02:00,11,446
2026-08-17T14:51:03.3828321+02:00,5,891
2026-08-17T14:51:08.6666948+02:00,6,680
2026-08-17T14:51:13.8435646+02:00,1,891
2026-08-17T14:51:19.0238442+02:00,3,891
2026-08-17T14:51:24.2379959+02:00,4,891
2026-08-17T14:51:29.4415516+02:00,3,891
2026-08-17T14:51:34.6436900+02:00,3,891
2026-08-17T14:51:39.8631942+02:00,4,629
2026-08-17T14:51:45.0452472+02:00,3,890
2026-08-17T14:51:50.2476900+02:00,3,552
2026-08-17T14:51:55.4428468+02:00,2,891
2026-08-17T14:52:00.6455005+02:00,4,888
2026-08-17T14:52:05.8709377+02:00,4,892
2026-08-17T14:52:11.1071960+02:00,3,896
2026-08-17T14:52:16.3137910+02:00,4,818
2026-08-17T14:52:21.5125960+02:00,4,847
2026-08-17T14:52:26.7133426+02:00,4,890
2026-08-17T14:52:31.8938219+02:00,2,891
2026-08-17T14:52:37.1058916+02:00,4,899
2026-08-17T14:52:42.3176512+02:00,4,750
2026-08-17T14:52:47.5529515+02:00,4,891
2026-08-17T14:52:52.7637302+02:00,10,540
2026-08-17T14:52:57.9651280+02:00,9,786
2026-08-17T14:53:03.1388569+02:00,67,451
2026-08-17T14:53:08.3246729+02:00,2,891
2026-08-17T14:53:13.5271720+02:00,2,891
2026-08-17T14:53:18.7611831+02:00,2,891
2026-08-17T14:53:23.9799300+02:00,6,745
2026-08-17T14:53:29.1690809+02:00,73,590
2026-08-17T14:53:34.3694740+02:00,9,603
2026-08-17T14:53:39.5736343+02:00,2,891
2026-08-17T14:53:44.7785936+02:00,35,445
